City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Acarau,BR,81.37,overcast clouds,-2.8856,-40.12,castelo pizzaria
426,Port-Gentil,GA,81.3,light rain,-0.7193,8.7815,Fengshui Residence
429,Tura,IN,75.07,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
431,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
432,Waingapu,ID,77.63,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
440,Axim,GH,85.48,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
441,Krabi,TH,79.0,few clouds,8.0726,98.9105,Tharapark View Hotel
444,Lamu,KE,84.42,few clouds,-2.2717,40.902,Lamu House
446,Sumbe,AO,79.11,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
450,Suba,PH,82.98,overcast clouds,10.8438,121.0102,Jarnchi Pension House
451,Nova Granada,BR,86.25,light rain,-20.5339,-49.3142,Casa do maikão
453,Itarema,BR,80.22,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
456,Escarcega,MX,84.02,few clouds,18.6089,-90.7454,Hotel Maria Isabel
458,Bodden Town,KY,82.99,few clouds,19.2833,-81.25,Will T Place
459,Paracale,PH,78.85,overcast clouds,14.2804,122.7881,Waling Waling center Paracale
461,Richards Bay,ZA,76.24,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
469,Hwange,ZW,75.65,light rain,-18.3693,26.5019,Hwange Colliery Guest House
470,Les Cayes,HT,83.21,scattered clouds,18.2,-73.75,Villa Orphee
473,Nhulunbuy,AU,77.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
477,Kavali,IN,81.05,few clouds,14.9167,79.9833,Hotel Mourya Paradise
483,Buala,SB,79.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
484,Tarakan,ID,79.45,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
491,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
496,Kilinochchi,LK,79.39,clear sky,9.3961,80.3982,Solaivanam Guest House
497,Jeremie,HT,78.21,broken clouds,18.65,-74.1167,Auberge’Inn
498,Bubaque,GW,77.52,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
501,Salinopolis,BR,81.55,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
502,Titay,PH,75.24,light rain,7.8125,122.5344,Lumbia Garden Resort
506,Si Chiang Mai,TH,83.95,few clouds,17.9564,102.5867,Don Chan Palace Hotel & Convention
513,Maningrida,AU,79.54,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
517,Dewas,IN,80.78,clear sky,22.9667,76.0667,OYO 71164 Hotel Suryaansh
518,Pangkalanbuun,ID,75.43,light rain,-2.6833,111.6167,Grand Kecubung Hotel
523,Tubuala,PA,79.7,overcast clouds,9.5167,-79.0333,Río Nabagana
528,Kutum,SD,78.44,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
529,Pedernales,DO,79.63,scattered clouds,18.0384,-71.744,Hotel Costa Marina
530,Dawei,MM,78.96,overcast clouds,14.0833,98.2,Hotel Dawei
534,Maumere,ID,79.41,overcast clouds,-8.6199,122.2111,Sylvia Hotel
536,Sabang,ID,83.62,broken clouds,5.8933,95.3214,Hotel Citra
539,Bartica,GY,86.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
543,Chimore,BO,89.28,broken clouds,-16.9833,-65.1333,Bichito
546,Manono,CD,77.61,light rain,-7.3,27.4167,Hotel hewa bora
554,Varzea Grande,BR,87.67,few clouds,-15.6467,-56.1325,Hotel Express
555,Pundaguitan,PH,81.97,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
560,Pachperwa,IN,79.2,clear sky,27.5167,82.65,Manglam mairrage haal
566,Kisaran,ID,75.69,clear sky,2.9845,99.6158,Penginapan Batubara1
582,Porto Walter,BR,78.85,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
