City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Bambous Virieux,MU,-20.3428,57.7575,79.21,71,26,5.68,scattered clouds
109,Nanortalik,GL,60.1432,-45.2371,34.36,77,87,5.41,overcast clouds
110,Ulety,RU,51.3572,112.4849,9.48,86,13,4.38,few clouds
111,Hermosillo,MX,29.0667,-110.9667,76.84,21,75,6.91,broken clouds
112,Westport,US,41.1415,-73.3579,32.36,39,100,17.27,overcast clouds
113,Nelson Bay,AU,-32.7167,152.15,71.01,95,100,8.57,light rain
114,Thompson,CA,55.7435,-97.8558,12.36,34,100,3.44,overcast clouds
115,Rundu,NA,-17.9333,19.7667,76.24,57,78,5.48,broken clouds
116,Bandarbeyla,SO,9.4942,50.8122,79.52,72,5,16.31,clear sky
117,Haines Junction,CA,60.7522,-137.5108,15.12,94,100,0.81,overcast clouds
118,Prince Rupert,CA,54.3161,-130.3201,40.44,74,56,2.82,broken clouds
119,Sitka,US,57.0531,-135.33,37.29,81,75,4.61,broken clouds
120,Bonthe,SL,7.5264,-12.505,87.46,55,90,13.35,overcast clouds
121,Vestmanna,FO,62.1564,-7.1664,34.72,93,100,2.3,overcast clouds
122,Klaksvik,FO,62.2266,-6.589,36.52,72,100,11.68,overcast clouds
123,Fortuna,US,40.5982,-124.1573,53.94,97,75,4.61,broken clouds
124,San Policarpo,PH,12.1791,125.5072,80.62,84,42,12.48,light rain
125,Devrek,TR,41.2192,31.9558,53.55,77,0,1.72,clear sky
126,Ilulissat,GL,69.2167,-51.1,37.42,41,20,18.41,few clouds
127,Ahipara,NZ,-35.1667,173.1667,62.01,87,2,6.17,clear sky
128,Coihaique,CL,-45.5752,-72.0662,46.35,76,75,11.5,light rain
129,Rio Gallegos,AR,-51.6226,-69.2181,51.51,50,98,10.36,overcast clouds
130,Tumpat,MY,6.1978,102.171,80.49,78,1,2.28,clear sky
131,Saravena,CO,6.9538,-71.8752,87.35,48,100,2.06,overcast clouds
